导出数据总量:411
导出时间:2026-03-16 18:57:36
user_id,contract_balance
617921,8347288.2691
-97,7943024.3602
-87,2600330.3952
-12,1534137.1132
-13,1416332.8586
554821,736515.5038
617918,490903.9402
-25,278371.1990
485791,172629.6363
554293,106953.7945
642212,95238.2364
478356,83099.4711
556226,81334.8747
479579,72609.2621
632904,71071.2347
604525,66546.0137
478188,65625.4771
558801,64766.1300
557928,58331.3922
584056,58328.3316
546397,53649.8372
550894,53424.1419
557714,52354.9303
533072,50974.0248
598087,50803.2708
554831,50003.3247
598117,49202.0677
598088,48577.6764
535594,47884.4044
-21,39866.2500
624765,39336.0186
485730,39287.1201
534407,39184.5789
577723,34730.5398
557501,33455.5001
612984,32084.8028
631406,27782.1706
485087,24474.3072
484998,23813.6678
632766,23026.4387
557503,22124.7954
210177,21847.9577
555092,21596.3827
620659,21560.6210
613645,19997.1824
587829,19993.8646
632917,19980.2585
631401,19916.9749
530352,19678.4185
641263,19050.8952
615105,18806.7945
558630,18785.7099
552724,17757.5657
644173,17710.4198
556461,17334.2594
641273,17159.4006
481167,15675.5874
631214,15150.3666
478168,13663.1492
604376,13473.8324
577282,13394.4590
644177,12655.6869
480374,12521.0197
485047,11637.4721
632910,11355.1871
557478,10793.5960
482767,10767.5016
641277,10554.1238
641720,10190.8475
428579,10152.2451
639879,10109.9654
641715,10017.2776
641717,9998.7962
641269,9967.6987
639883,9916.7724
577708,9878.6995
641279,9548.2299
602066,9203.5206
604349,8400.0000
484876,8278.5483
629886,8134.2386
641284,7878.4716
482769,7798.1003
555559,6598.8961
557479,6538.8585
557476,6196.0845
605989,5984.7606
555555,5744.8437
556227,5204.8228
557472,5064.2635
171735,3783.9926
629942,3001.3775
557471,2411.2593
557412,2086.8965
456595,2018.6124
483267-1,1966.1063
573104,1881.4479
630101,1385.1815
630098,1295.8841
551072,1077.5342
484975-1,1026.3560
630103,1019.9242
642215,1014.0012
630102,1012.2956
482771,1002.5950
630096,1000.0001
630103-1,1000.0000
630101-1,1000.0000
630102-1,1000.0000
630104,984.1215
482770,966.9074
538034,966.1705
630100,862.7061
630099,781.1129
19,575.6994
481950,563.4677
539189,528.3273
-70,522.0000
630099-1,494.0000
642216,412.9646
630100-1,372.0000
630089,200.7812
20,172.8423
630096-1,124.5458
558581,119.0775
7-1,115.5280
537887,113.0386
210431,95.3451
573603,91.2849
172143,62.4253
483974,50.7557
538019,50.3280
3,25.9594
7,13.7766
484981,9.8966
21,1.1182
210425,0.7549
150,0.0568
171439,0.0087
155746,0.0081
187,0.0073
171754,0.0049
156178,0.0023
171813,0.0020
155741,0.0013
171645,0.0010
102833,0.0009
554402,0.0001
588223,0.0001
155,0.0001
483331,0.0001
478194-1,0.0001
484845,0.0001
588289,0.0001
484772,0.0000
484984,0.0000
485790,0.0000
630098-1,0.0000
478276,0.0000
481950-1,0.0000
483291,0.0000
484937,0.0000
484990-1,0.0000
493679,0.0000
559123,0.0000
598103,0.0000
481951,0.0000
483305,0.0000
484968-1-2-493679-2564,0.0000
484991-1-2-485142-905,0.0000
527086,0.0000
572528,0.0000
608900,0.0000
631218,0.0000
7-1-2-55-3902,0.0000
462342,0.0000
479579-1,0.0000
481952-1-2-485142-1115,0.0000
483327,0.0000
483329,0.0000
484970-1,0.0000
485179,0.0000
532969,0.0000
476515,0.0000
480951,0.0000
483332-1-2-493679-7647,0.0000
484975-1-2-478276-907,0.0000
485349-1-2-485142-952,0.0000
535594-1,0.0000
210471,0.0000
478194,0.0000
481819,0.0000
483271-1-2-478276-889,0.0000
484772-1-2-485142-943,0.0000
484984-1-2-478294-2554,0.0000
487884-1,0.0000
588282,0.0000
478291,0.0000
481950-1-2-485142-1030,0.0000
483291-1-2-485145-893,0.0000
484968-1,0.0000
484991,0.0000
521216,0.0000
552692,0.0000
561754,0.0000
462043,0.0000
479001,0.0000
481951-1-2-479986-853,0.0000
483306,0.0000
484969-1-2-478276-2562,0.0000
485053,0.0000
529256,0.0000
554846,0.0000
631405,0.0000
7-1-2-55-751,0.0000
462415-1,0.0000
479761,0.0000
483328-1-2-478294-5518,0.0000
483332-1,0.0000
484970-1-2-485142-7643,0.0000
485349-1,0.0000
577744,0.0000
478097,0.0000
483267-1-2-485142-12626,0.0000
484042,0.0000
538019-1,0.0000
584393,0.0000
210683,0.0000
478225,0.0000
483278-1-2-484998-921,0.0000
484990,0.0000
487884-1-2-493679-12915,0.0000
642730,0.0000
428621,0.0000
478304,0.0000
481950-1-2-485142-938,0.0000
483304,0.0000
484968-1-2-478294-4669,0.0000
484991-1-2-485142-1098,0.0000
525604,0.0000
572502,0.0000
7-1-2-55-2236,0.0000
462292,0.0000
481952-1-2-479986-857,0.0000
483306-1-2-485142-1077,0.0000
483328-1-2-485145-892,0.0000
484970,0.0000
485145,0.0000
531788,0.0000
573819,0.0000
7-1-2-55-912,0.0000
472025,0.0000
483332-1-2-493679-5523,0.0000
484975-1-2-478276-6004,0.0000
485349-1-2-485142-1916,0.0000
581010,0.0000
210451,0.0000
478192,0.0000
481520,0.0000
483271-1-2-478276-1078,0.0000
484772-1-2-478225-813,0.0000
484984-1-2-478294-1095,0.0000
487884,0.0000
539186,0.0000
588224,0.0000
478290,0.0000
481950-1-2-479986-839,0.0000
483291-1-2-485142-1080,0.0000
484968,0.0000
484990-1-2-478276-888,0.0000
521138,0.0000
551199,0.0000
560502,0.0000
461810,0.0000
478614,0.0000
481951-1-2-479986-707,0.0000
483305-1-2-478276-1458,0.0000
484969-1,0.0000
528077,0.0000
572833,0.0000
7-1-2-55-58301,0.0000
462415,0.0000
479620,0.0000
482723,0.0000
483328-1,0.0000
483332,0.0000
484970-1-2-485142-2451,0.0000
485349,0.0000
533474,0.0000
478068,0.0000
481084,0.0000
483267-1-2-462415-8317,0.0000
483974-1,0.0000
484978-1-2-478276-887,0.0000
485546,0.0000
584392,0.0000
630097,0.0000
210474,0.0000
478194-1-2-478225-27,0.0000
481949,0.0000
483278-1,0.0000
484874,0.0000
484984-1-2-485142-7642,0.0000
487884-1-2-485142-6511,0.0000
478294,0.0000
481950-1-2-485142-1675,0.0000
483300,0.0000
484968-1-2-478276-886,0.0000
484991-1-2-478294-2563,0.0000
521762,0.0000
553929,0.0000
571675,0.0000
630104-1,0.0000
7-1-2-55-20589,0.0000
462053,0.0000
479126,0.0000
481952-1,0.0000
483306-1-2-478294-890,0.0000
